Position,Artist,Title
1,Ed Sheeran,Shape Of You
2,Luis Fonsi feat. Daddy Yankee,Despacito
3,The Chainsmokers & Coldplay,Something Just Like This
4,Imagine Dragons,Thunder
5,Burak Yeter feat. Danelle Sandoval,Tuesday
6,Axwell Λ Ingrosso,More Than You Know
7,Robin Schulz feat. James Blunt,OK
8,Bausa,Was du Liebe nennst
9,French Montana feat. Swae Lee,Unforgettable
10,Ed Sheeran,Galway Girl
11,Jason Derulo feat. Nicki Minaj & Ty Dolla $ign,Swalla
12,Ed Sheeran,Perfect
13,Kygo & Selena Gomez,It Ain't Me
14,Alice Merton,No Roots
15,J Balvin & Willy William,Mi gente
16,Jonas Blue feat. William Singe,Mama
17,Bonez MC & RAF Camora feat. Maxwell,Ohne mein Team
18,Camila Cabello feat. Young Thug,Havana
19,Shawn Mendes,There's Nothing Holdin' Me Back
20,Jax Jones feat. Raye,You Don't Know Me
21,Post Malone feat. 21 Savage,Rockstar
22,Charlie Puth,Attention
23,Ed Sheeran,Castle On The Hill
24,Zayn feat. Sia,Dusk Till Dawn
25,Kay One feat. Pietro Lombardi,Señorita
26,Ofenbach,Be Mine
27,Rita Ora,Your Song
28,DJ Khaled feat. Rihanna & Bryson Tiller,Wild Thoughts
29,Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye
30,Liam Payne feat. Quavo,Strip That Down
31,Nimo,Heute mit mir
32,Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker)
33,"Enrique Iglesias feat. Descemer Bueno, Zion & Lennox",Súbeme la radio
34,Clean Bandit feat. Zara Larsson,Symphony
35,Justin Bieber + BloodPop®,Friends
36,Gestört aber GeiL feat. Lea,Wohin willst du
37,Imagine Dragons,Believer
38,The Chainsmokers,Paris
39,P!nk,What About Us
40,"DJ Khaled feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One
41,Dua Lipa,New Rules
42,Lauv,I Like Me Better
43,"Felix Jaehn, Hight & Alex Aiono",Hot2Touch
44,Starley,Call On Me
45,Marshmello feat. Khalid,Silence
46,David Guetta feat. Justin Bieber,2U
47,Martin Jensen,Solo Dance
48,Mark Forster,Sowieso
49,Miami Yacine,Bon voyage
50,Cro,Unendlichkeit
51,Alle Farben & Janieck,Little Hollywood
52,Martin Garrix & Dua Lipa,Scared To Be Lonely
53,Future,Mask Off
54,Maître Gims feat. Dany Synthé,Loin
55,Adel Tawil,Ist da jemand
56,Rag'n'Bone Man,Skin
57,Zedd & Alessia Cara,Stay
58,Zuna feat. Azet & Noizy,Nummer 1
59,"Calvin Harris feat. Pharrell Williams, Katy Perry & Big Sean",Feels
60,Helene Fischer,Herzbeben
61,Kaleo,Way Down We Go
62,Alan Walker,Alone
63,Mark Forster,Chöre
64,Katy Perry feat. Skip Marley,Chained To The Rhythm
65,RAF Camora,Primo
66,Welshly Arms,Legendary
67,Rin,Bros
68,Maggie Lindemann,Pretty Girl
69,Kay One,Louis Louis
70,Macklemore feat. Skylar Grey,Glorious
71,Bonez MC / RAF Camora / GZUZ / Maxwell,Kontrollieren
72,Capo feat. Nimo,Lambo Diablo GT
73,RIN,Monica Bellucci
74,Ufo361,Nice Girl 2.0
75,Harry Styles,Sign Of The Times
76,Portugal. The Man,Feel It Still
77,"187 Strassenbande feat. Bonez MC, Gzuz",Millionär
78,Jon Bellion,All Time Low
79,Alma [FI],Chasing Highs
80,Robin Schulz & David Guetta feat. Cheat Codes,Shed A Light
81,Taylor Swift,Look What You Made Me Do
82,KC Rebell x Summer Cem,Murcielago
83,Sean Paul feat. Dua Lipa,No Lie
84,Andreas Gabalier,Hulapalu
85,Rag'n'Bone Man,Human
86,Veysel,Kleiner Cabrón
87,Kurdo,Ya Salam
88,Maroon 5 feat. SZA,What Lovers Do
89,Bonez MC & RAF Camora,Palmen aus Plastik
90,Avicii feat. Sandro Cavazza,Without You
91,Alle Farben,Bad Ideas
92,Sia,Never Give Up
93,Julia Michaels,Issues
94,Sage The Gemini,Now & Later
95,Imagine Dragons,Whatever It Takes
96,Sam Smith,Too Good At Goodbyes
97,The Weeknd feat. Daft Punk,Starboy
98,Cheat Codes feat. Demi Lovato,No Promises
99,Kendrick Lamar,Humble.
100,Shakira feat. Maluma,Chantaje
